Actiune,TimeStamp
Adaugare produs in lista de cumparaturi,05-05-2020 09:07:22
Adaugare nr telefon in agenda,05-05-2020 09:07:43
Adaugare produs in lista de cumparaturi,05-05-2020 09:12:06
Stergere produs din lista de cumparaturi,05-05-2020 09:12:10
Listeaza toate activitatile,05-05-2020 09:33:10
Listeaza toate activitatile,05-05-2020 09:33:41
Lista de Cumparaturi,05-05-2020 18:05:27
Listeaza numerele de telefon,05-05-2020 18:05:34
Listeaza toate activitatile,05-05-2020 18:05:43
Listarea Facturilor,05-05-2020 18:05:54
Stergere produs din lista de cumparaturi,05-05-2020 19:36:22
Stergere produs din lista de cumparaturi,05-05-2020 19:38:43
Lista de Cumparaturi,05-05-2020 19:43:47
Stergere produs din lista de cumparaturi,05-05-2020 20:10:13
Adaugare produs in lista de cumparaturi,05-05-2020 20:44:50
Stergere produs din lista de cumparaturi,05-05-2020 20:56:38
Adauga Examen,05-05-2020 20:56:49
Lista de Cumparaturi,05-05-2020 21:33:15
Afisare Examen,05-05-2020 21:38:14
Listeaza toate activitatile,05-05-2020 21:45:16
Adauga Intalnire,05-05-2020 21:45:45
Lista de Cumparaturi,05-05-2020 21:53:25
Stergere produs din lista de cumparaturi,05-05-2020 21:53:31
Adaugare produs in lista de cumparaturi,05-05-2020 21:53:51
Lista de Cumparaturi,04-06-2020 02:24:59
Adaugare produs in lista de cumparaturi,04-06-2020 02:25:24
Lista de Cumparaturi,04-06-2020 02:25:31
Adaugare produs in lista de cumparaturi,04-06-2020 11:32:34
Adaugare produs in lista de cumparaturi,04-06-2020 11:44:57
Lista de Cumparaturi,04-06-2020 11:45:05
Adaugare produs in lista de cumparaturi,04-06-2020 11:53:55
Adaugare produs in lista de cumparaturi,04-06-2020 11:54:00
Adaugare produs in lista de cumparaturi,04-06-2020 11:54:11
Adaugare produs in lista de cumparaturi,04-06-2020 11:54:52
Adaugare produs in lista de cumparaturi,04-06-2020 12:08:22
Lista de Cumparaturi,04-06-2020 12:08:26
Adaugare produs in lista de cumparaturi,04-06-2020 12:12:28
Lista de Cumparaturi,04-06-2020 12:12:35
Buget ramas dupa o plata efectuata,04-06-2020 13:51:03
Buget ramas dupa o plata efectuata,04-06-2020 13:53:20
Buget ramas dupa o plata efectuata,04-06-2020 13:55:49
Buget ramas dupa o plata efectuata,04-06-2020 13:56:51
Buget ramas dupa o plata efectuata,04-06-2020 13:58:20
Buget ramas dupa o plata efectuata,04-06-2020 13:59:58
Afisare Facturi,04-06-2020 15:15:45
Afisare Facturi,04-06-2020 15:18:59
Facturi Scadente,04-06-2020 15:45:01
Facturi Scadente,04-06-2020 16:02:07
Facturi Scadente,04-06-2020 16:05:35
Facturi Scadente,04-06-2020 16:07:48
Facturi Scadente,04-06-2020 16:09:36
Facturi Scadente,04-06-2020 16:15:12
Facturi Scadente,04-06-2020 16:18:20
Facturi Scadente,04-06-2020 16:33:21
Facturi Scadente,04-06-2020 16:35:25
Facturi Scadente,04-06-2020 16:38:25
Facturi Scadente,04-06-2020 16:56:08
Facturi Scadente,04-06-2020 16:56:59
Buget ramas dupa o plata efectuata,04-06-2020 17:13:25
Adaugare Factura,04-06-2020 19:26:12
Afisare Facturi,04-06-2020 19:27:05
Adaugare Factura,04-06-2020 19:28:45
Adaugare Factura,04-06-2020 19:34:50
Adaugare Factura,04-06-2020 19:38:53
Lista de Cumparaturi,04-06-2020 20:17:55
